season,week,home_away,opponent,home_odds,draw_odds,away_odds,team_yellow,team_red,opp_yellow,opp_red,team_fouls,opp_fouls
2023-24,1,A,FATIH KARAGUMRUK,4.74,3.6,1.40,1,0,4,0,13,14
2023-24,2,H,PENDIKSPOR,1.13,5.24,8.05,4,0,4,0,11,9
2023-24,3,H,SIVASSPOR,1.21,4.48,6.49,2,0,4,0,17,17
2023-24,4,A,TRABZONSPOR,2.71,3.13,1.95,1,0,4,0,11,15
2023-24,5,H,KAYSERISPOR,1.20,4.50,6.66,1,0,0,0,13,9
2023-24,6,A,ADANA DEMIRSPOR,2.76,3.34,1.84,1,0,2,0,15,16
2023-24,7,A,KONYASPOR,2.67,2.96,2.94,3,0,2,0,20,13
2023-24,8,H,ISTANBULSPOR,2.87,3.29,1.86,2,0,2,0,11,10
2023-24,9,A,GALATASARAY,1.47,3.62,4.05,6,1,3,0,18,12
2023-24,10,H,GAZIANTEP FK,1.36,3.82,4.83,2,0,5,0,15,16
2023-24,11,A,ANTALYASPOR,2.18,2.99,2.44,3,0,1,0,13,13
2023-24,12,H,BASAKSEHIR,1.56,3.28,2.13,2,0,3,0,18,17
2023-24,13,A,SAMSUNSPOR,2.70,2.97,2.02,1,0,2,0,9,16
2023-24,14,A,ANKARAGUCU,2.79,3.07,1.86,2,0,1,0,10,19
2023-24,15,H,FENERBAHCE,3.57,3.25,1.63,5,0,4,0,18,14
2023-24,16,H,ALANYASPOR,2.87,3.29,1.86,3,0,2,0,16,7
2023-24,17,A,HATAYSPOR,2.87,3.29,1.86,1,0,1,0,9,11
2023-24,18,H,KASIMPASA,1.46,3.84,3.87,2,0,2,0,20,13
2023-24,19,A,CAYKUR RIZESPOR,2.14,3.11,2.41,1,0,3,0,15,10
2023-24,20,H,FATIH KARAGUMRUK,1.68,3.28,3.29,3,0,0,0,17,9
2023-24,21,A,PENDIKSPOR,3.07,3.41,1.72,2,0,1,0,11,10
2023-24,22,H,ADANA DEMIRSPOR,1.41,3.76,4.20,4,0,4,0,15,10
2023-24,23,A,SIVASSPOR,2.68,2.94,2.00,4,0,6,0,9,22
2023-24,24,H,TRABZONSPOR,1.74,3.10,3.39,3,0,0,0,21,10
2023-24,25,A,KAYSERISPOR,2.79,3.16,1.90,0,0,3,0,9,17
2023-24,26,H,KONYASPOR,1.38,3.69,5.12,2,0,0,0,8,8
2023-24,27,A,ISTANBULSPOR,5.38,3.98,1.33,3,0,1,0,16,9
2023-24,28,H,GALATASARAY,2.87,3.29,1.86,2,1,0,0,7,15
2023-24,29,A,GAZIANTEP FK,3.03,3.03,1.88,3,0,3,0,12,10
2023-24,30,H,ANTALYASPOR,1.70,3.08,3.61,2,0,3,0,12,14
2023-24,31,A,BASAKSEHIR,2.38,2.97,2.31,3,0,3,0,25,14
2023-24,32,H,SAMSUNSPOR,1.58,3.45,3.70,1,0,2,0,13,17
2023-24,33,H,ANKARAGUCU,1.58,3.45,3.70,2,0,2,0,12,13
2023-24,34,A,FENERBAHCE,1.25,4.40,5.95,3,1,1,0,18,14
2023-24,35,H,CAYKUR RIZESPOR,1.53,3.41,4.07,2,0,3,0,16,11
2023-24,36,A,ALANYASPOR,2.44,3.36,2.07,3,0,1,0,11,15
2023-24,37,H,HATAYSPOR,1.34,4.08,5.14,6,0,3,0,6,17
2023-24,38,A,KASIMPASA,2.04,3.49,2.42,2,0,1,0,9,11
