season,week,home_away,opponent,home_odds,draw_odds,away_odds,team_yellow,team_red,opp_yellow,opp_red,team_fouls,opp_fouls
2023-24,1,H,GAZIANTEP FK,1.12,5.32,8.18,0,0,6,0,13,12
2023-24,2,A,SAMSUNSPOR,3.57,3.28,1.62,1,0,1,0,10,11
2023-24,3,A,ANKARAGUCU,3.88,3.38,1.54,3,0,2,0,14,15
2023-24,4,H,ANTALYASPOR,1.25,4.25,6.16,3,0,4,0,12,12
2023-24,5,A,ALANYASPOR,4.61,3.59,1.42,6,0,2,0,14,15
2023-24,6,H,BASAKSEHIR,1.19,4.49,7.01,4,0,1,0,22,9
2023-24,7,H,CAYKUR RIZESPOR,1.12,5.24,8.36,1,0,3,0,10,15
2023-24,8,A,KASIMPASA,5.87,4.30,1.25,0,0,3,0,12,13
2023-24,9,H,HATAYSPOR,1.00,6.71,12.60,1,0,4,0,10,14
2023-24,10,A,PENDIKSPOR,7.76,5.24,1.32,2,0,1,0,11,7
2023-24,11,H,TRABZONSPOR,1.35,5.21,7.78,6,0,4,0,14,25
2023-24,12,A,ADANA DEMIRSPOR,2.94,3.60,1.71,3,0,3,0,16,12
2023-24,13,H,FATIH KARAGUMRUK,1.09,5.16,9.21,5,0,4,0,20,16
2023-24,14,H,SIVASSPOR,1.07,5.95,10.10,1,0,1,0,18,12
2023-24,15,A,BESIKTAS,3.57,3.25,1.63,4,0,5,0,14,18
2023-24,16,A,KAYSERISPOR,4.79,3.73,1.38,5,1,2,0,11,22
2023-24,17,H,GALATASARAY,1.92,3.23,2.68,3,0,4,0,19,26
2023-24,18,A,ISTANBULSPOR,11.85,6.45,1.00,1,0,3,0,13,12
2023-24,19,H,KONYASPOR,1.07,5.88,10.40,1,0,2,0,14,8
2023-24,20,A,GAZIANTEP FK,6.76,4.62,1.19,2,0,3,0,8,14
2023-24,21,H,SAMSUNSPOR,1.08,5.85,9.79,1,0,3,0,7,14
2023-24,22,A,BASAKSEHIR,5.22,3.86,1.31,4,0,9,0,14,16
2023-24,23,H,ANKARAGUCU,1.06,5.58,10.70,0,0,0,0,17,13
2023-24,24,A,ANTALYASPOR,5.19,3.39,1.35,0,0,1,0,17,13
2023-24,25,H,ALANYASPOR,1.06,6.38,11.10,3,0,5,0,11,19
2023-24,26,A,CAYKUR RIZESPOR,5.54,4.22,1.27,2,0,4,0,18,16
2023-24,27,H,KASIMPASA,1.07,6.40,10.05,2,0,3,0,10,22
2023-24,28,A,HATAYSPOR,7.07,4.64,1.20,5,0,1,0,14,14
2023-24,29,H,PENDIKSPOR,1.07,6.43,10.10,6,0,8,0,17,29
2023-24,30,A,TRABZONSPOR,3.03,3.23,1.82,4,0,5,0,18,13
2023-24,31,H,ADANA DEMIRSPOR,1.14,5.33,7.84,2,0,1,0,17,11
2023-24,32,A,FATIH KARAGUMRUK,6.03,4.12,1.28,3,0,5,1,14,11
2023-24,33,A,SIVASSPOR,8.19,4.98,1.15,1,0,4,0,11,6
2023-24,34,H,BESIKTAS,1.25,4.40,5.95,1,0,3,1,14,18
2023-24,35,A,KONYASPOR,6.03,4.29,1.26,1,0,4,0,8,16
2023-24,36,H,KAYSERISPOR,1.00,6.92,12.55,1,0,4,0,12,11
2023-24,37,A,GALATASARAY,2.00,3.49,2.47,7,0,4,0,10,18
2023-24,38,H,ISTANBULSPOR,1.00,15.90,17.80,2,0,1,0,12,10
,,,,,,,,,,,,
,,,,,,,,,,,,
